timestamp,flag,source,destination,qname,type,ttl,transaction ID
17:11:11,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,ppsvc.prismray.io.,AAAA,,14304
17:11:11,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,ppsvc.prismray.io.,AAAA,1330,14304
17:11:34,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,p2p-sea1.discovery.steamserver.net.,A,,58289
17:11:34,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,p2p-sea1.discovery.steamserver.net.,A,18,58289
17:12:34,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,p2p-sea1.discovery.steamserver.net.,A,,64250
17:12:34,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,p2p-sea1.discovery.steamserver.net.,A,18,64250
17:13:02,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,api.epicgames.dev.,A,,2832
17:13:02,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,api.epicgames.dev.,AAAA,,42853
17:13:02,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,api.epicgames.dev.,A,58,2832
17:13:02,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,api.epicgames.dev.,AAAA,58,42853
17:13:02,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,eos-gateway-ingressv2-prod-c3-w1.befa.live.use1a.on.epicgames.com.,AAAA,,16232
17:13:02,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,eos-gateway-ingressv2-prod-c3-w1.befa.live.use1a.on.epicgames.com.,AAAA,183,16232
17:13:22,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,firefox.settings.services.mozilla.com.,A,,10528
17:13:22,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,firefox.settings.services.mozilla.com.,AAAA,,53386
17:13:22,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,firefox.settings.services.mozilla.com.,A,51,10528
17:13:22,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,firefox.settings.services.mozilla.com.,AAAA,51,53386
17:13:34,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,p2p-sea1.discovery.steamserver.net.,A,,36969
17:13:34,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,p2p-sea1.discovery.steamserver.net.,A,12,36969
17:13:40,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,discordapp.com.,A,,16757
17:13:40,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,discordapp.com.,AAAA,,14714
17:13:40,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,discordapp.com.,A,295,16757
17:13:40,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,discordapp.com.,AAAA,3,14714
17:13:59,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,connectivity-check.ubuntu.com.,A,,46772
17:13:59,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,connectivity-check.ubuntu.com.,A,54,46772
17:14:20,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,connectivity-check.ubuntu.com.,AAAA,,61595
17:14:20,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,connectivity-check.ubuntu.com.,AAAA,15,61595
17:14:34,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,p2p-sea1.discovery.steamserver.net.,A,,47643
17:14:34,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,p2p-sea1.discovery.steamserver.net.,A,12,47643
17:14:45,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,profile.accounts.firefox.com.,A,,24846
17:14:45,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,profile.accounts.firefox.com.,AAAA,,38455
17:14:45,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,token.services.mozilla.com.,A,,20491
17:14:45,0,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,2001:4e8:0:400d::12,token.services.mozilla.com.,AAAA,,2472
17:14:45,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,token.services.mozilla.com.,A,24,20491
17:14:45,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,profile.accounts.firefox.com.,AAAA,12,38455
17:14:45,1,2001:4e8:0:400d::12,2604:3d08:b283:3800:7ce8:6f7b:37dd:8c,token.services.mozilla.com.,AAAA,24,2472
